"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","",NA,"20","","2016-06-20 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"63","","2016-06-20 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"<10","","2016-06-20 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"10","","2016-06-13 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"52","","2016-06-13 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"<10","","2016-06-13 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"86","","2016-09-06 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"3448","","2016-09-06 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"75","","2016-09-06 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"20","","2016-08-29 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"158","","2016-08-29 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"20","","2016-08-29 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"10","","2016-08-22 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"336","","2016-08-22 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"10","","2016-08-22 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"63","","2016-08-15 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"1203","","2016-08-15 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"31","","2016-08-15 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"41","","2016-08-08 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"1198","","2016-08-08 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"10","","2016-08-08 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"52","","2016-08-01 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"2755","","2016-08-01 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"<10","","2016-08-01 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"10","","2016-07-25 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"336","","2016-07-25 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"<10","","2016-07-25 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"<10","","2016-07-18 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"52","","2016-07-18 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"10","","2016-07-18 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"10","","2016-07-11 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"84","","2016-07-11 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"<10","","2016-07-11 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"<10","","2016-07-05 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"52","","2016-07-05 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"<10","","2016-07-05 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"31","","2016-06-27 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"2755","","2016-06-27 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"52","","2016-06-27 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"10","","2016-06-20 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"187","","2016-06-20 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"10","","2016-06-20 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"63","","2016-06-13 00:00:00.0","BAY#301.1_SL"
"COLI_TOTAL","",NA,"298","","2016-06-13 00:00:00.0","BAY#301.1_SL"
"ENTERO","",NA,"10","","2016-06-13 00:00:00.0","BAY#301.1_SL"
"COLI_E","",NA,"<10","","2016-09-06 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"<10","","2016-09-06 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"10","","2016-09-06 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"20","","2016-08-29 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"30","","2016-08-29 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"10","","2016-08-29 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"121","","2016-08-22 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"121","","2016-08-22 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"30","","2016-08-22 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"20","","2016-08-15 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"41","","2016-08-15 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"<10","","2016-08-15 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"144","","2016-08-08 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"221","","2016-08-08 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"10","","2016-08-08 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"109","","2016-08-01 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"243","","2016-08-01 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"20","","2016-08-01 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"52","","2016-07-25 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"161","","2016-07-25 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"20","","2016-07-25 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"10","","2016-07-18 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"10","","2016-07-18 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"<10","","2016-07-18 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"10","","2016-07-11 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"41","","2016-07-11 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"<10","","2016-07-11 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"31","","2016-07-05 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"86","","2016-07-05 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"10","","2016-07-05 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"20","","2016-06-27 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"187","","2016-06-27 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"<10","","2016-06-27 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"<10","","2016-06-20 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"<10","","2016-06-20 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"<10","","2016-06-20 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"<10","","2016-06-13 00:00:00.0","BAY#301.2_SL"
"COLI_TOTAL","",NA,"121","","2016-06-13 00:00:00.0","BAY#301.2_SL"
"ENTERO","",NA,"<10","","2016-06-13 00:00:00.0","BAY#301.2_SL"
"COLI_E","",NA,"20","","2016-09-06 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"683","","2016-09-06 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-09-06 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"119","","2016-08-29 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"488","","2016-08-29 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-08-29 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"31","","2016-08-22 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"243","","2016-08-22 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-08-22 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"<10","","2016-08-15 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"20","","2016-08-15 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-08-15 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"10","","2016-08-08 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"631","","2016-08-08 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"10","","2016-08-08 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"<10","","2016-08-01 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"75","","2016-08-01 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-08-01 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"41","","2016-07-25 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"364","","2016-07-25 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-07-25 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"<10","","2016-07-18 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"10","","2016-07-18 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-07-18 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"10","","2016-07-11 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"857","","2016-07-11 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"10","","2016-07-11 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"10","","2016-07-05 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"52","","2016-07-05 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-07-05 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"10","","2016-06-27 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"197","","2016-06-27 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-06-27 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"10","","2016-06-21 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"31","","2016-06-21 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"<10","","2016-06-21 00:00:00.0","BAY#320_SL"
"COLI_E","",NA,"10","","2016-06-20 00:00:00.0","BAY#320_SL"
"COLI_TOTAL","",NA,"135","","2016-06-20 00:00:00.0","BAY#320_SL"
"ENTERO","",NA,"10","","2016-06-20 00:00:00.0","BAY#320_SL"
